format,model_1,model_2,winrate,variance,nb_battles,wins,losses,ties
gen1randombattle,crystal_3_00300,crystal_7_00200,0.47050000,0.000249128879,1000,470,529,1
gen1randombattle,crystal_3_00300,crystal_8_00200,0.47350000,0.000248796547,1000,472,525,3
gen1randombattle,crystal_3_00300,crystal_9_00200,0.49250000,0.000249443193,1000,491,506,3
gen1randombattle,crystal_3_00300,fire_10_00300,0.48200000,0.000248924925,1000,480,516,4
gen1randombattle,crystal_3_00300,fire_1_00300,0.48400000,0.000249493493,1000,483,515,2
gen1randombattle,crystal_3_00300,fire_2_00300,0.46800000,0.000248724725,1000,467,531,2
gen1randombattle,crystal_3_00300,fire_3_00300,0.49450000,0.000249469219,1000,493,504,3
gen1randombattle,crystal_3_00300,fire_4_00300,0.48800000,0.000249105105,1000,486,510,4
gen1randombattle,crystal_3_00300,fire_5_00300,0.47900000,0.000248807808,1000,477,519,4
gen1randombattle,crystal_3_00300,fire_6_00300,0.48450000,0.000249259009,1000,483,514,3
gen1randombattle,crystal_3_00300,fire_7_00300,0.48650000,0.000248816567,1000,484,511,5
gen1randombattle,crystal_3_00300,fire_8_00300,0.50200000,0.000249745746,1000,501,497,2
gen1randombattle,crystal_3_00300,fire_9_00300,0.47650000,0.000247945696,1000,473,520,7
gen1randombattle,crystal_3_00500,crystal_3_00500,0.50700000,0.000250201201,1000,507,493,0
gen1randombattle,crystal_4_00200,crystal_4_00200,0.52800000,0.000249465465,1000,528,472,0
gen1randombattle,crystal_4_00200,crystal_5_00200,0.48200000,0.000249425425,1000,481,517,2
gen1randombattle,crystal_4_00200,crystal_6_00200,0.49150000,0.000249927678,1000,491,508,1
gen1randombattle,crystal_4_00200,crystal_7_00200,0.46900000,0.000248287287,1000,467,529,4
gen1randombattle,crystal_4_00200,crystal_8_00200,0.47950000,0.000249078829,1000,478,519,3
gen1randombattle,crystal_4_00200,crystal_9_00200,0.47100000,0.000248407407,1000,469,527,4
gen1randombattle,crystal_4_00200,fire_10_00300,0.46800000,0.000248224224,1000,466,530,4
gen1randombattle,crystal_4_00200,fire_1_00300,0.47500000,0.000248623624,1000,473,523,4
